,target,value_count
0,the,4986
1,",",4376
2,.,4094
3,of,2741
4,to,2255
5,and,2110
6,a,1950
7,in,1517
8,"""",1061
9,was,970
10,that,968
11,is,821
12,he,753
13,for,718
14,had,670
15,with,645
16,be,624
17,as,608
18,I,598
19,his,597
20,on,587
21,',584
22,it,584
23,The,548
24,at,460
25,by,431
26,not,412
27,which,369
28,but,359
29,have,358
30,her,355
31,an,335
32,from,335
33,are,334
34,been,330
35,-,303
36,this,295
37,has,294
38,Mr.,280
39,He,270
40,you,265
41,were,262
42,It,231
43,who,227
44,or,226
45,they,224
46,would,223
47,will,223
48,their,218
49,we,216
50,she,208
51,all,201
52,him,200
53,!,185
54,so,184
55,more,184
56,one,175
57,said,173
58,out,168
59,no,168
60,there,163
61,;,159
62,?,158
63,than,156
64,up,152
65,But,147
66,being,146
67,when,146
68,A,143
69,In,142
70,about,140
71,them,138
72,:,137
73,may,132
74,man,129
75,some,127
76,what,126
77,can,126
78,could,126
79,into,125
80,first,124
81,like,122
82,only,121
83,if,120
84,time,118
85,two,118
86,new,115
87,me,112
88,other,112
89,much,111
90,over,108
91,...,108
92,made,106
93,(,103
94,This,102
95,very,101
96,its,101
97,people,99
98,now,97
99,And,96
100,),96
101,my,94
102,before,89
103,do,89
104,told,89
105,our,88
106,well,88
107,must,88
108,great,86
109,Sir,84
110,even,84
111,these,84
112,life,84
113,most,83
114,any,83
115,Anglesey,81
116,back,81
117,Government,81
118,She,80
119,then,80
120,years,79
121,still,78
122,last,77
123,We,77
124,ever,77
125,little,75
126,good,75
127,should,75
128,us,74
129,There,74
130,'s,73
131,go,73
132,found,72
133,under,72
134,You,72
135,They,72
136,What,70
137,himself,69
138,down,68
139,know,67
140,also,67
141,your,67
142,after,67
143,those,67
144,too,66
145,year,66
146,get,65
147,such,65
148,way,65
149,did,65
150,see,65
151,many,65
152,thought,65
153,here,65
154,#,65
155,through,63
156,per,63
157,God,63
158,make,62
159,men,62
160,off,61
161,went,57
162,how,57
163,used,57
164,come,56
165,against,56
166,As,56
167,again,55
168,always,54
169,same,53
170,long,53
171,never,53
172,Labour,52
173,might,52
174,Minister,52
175,town,51
176,German,51
177,upon,50
178,whom,50
179,going,50
180,work,49
181,end,49
182,When,49
183,'d,48
184,because,48
185,where,48
186,few,48
187,without,48
188,say,48
189,give,48
190,just,48
191,young,48
192,country,47
193,&,47
194,One,47
195,today,47
196,left,46
197,Naples,46
198,put,46
199,brought,46
200,far,45
201,better,45
202,between,45
203,need,45
204,talks,44
205,part,44
206,course,44
207,known,44
208,every,44
209,At,44
210,small,44
211,place,44
212,number,44
213,while,44
214,British,44
215,London,43
216,Britain,43
217,cent,43
218,own,42
219,later,42
220,If,42
221,seen,42
222,House,42
223,For,42
224,wrote,42
225,perhaps,42
226,find,41
227,since,41
228,Dr.,41
229,take,41
230,word,41
231,days,41
232,though,41
233,away,41
234,yesterday,41
235,four,40
236,return,40
237,home,40
238,right,40
239,really,40
240,point,40
241,That,40
242,children,40
243,Germany,40
244,something,40
245,took,40
246,day,40
247,described,39
248,West,39
249,policy,39
250,mind,39
251,'ll,39
252,almost,39
253,Prime,39
254,action,39
255,quite,38
256,nothing,38
257,night,38
258,however,37
259,best,37
260,eyes,37
261,cannot,37
262,taken,37
263,strong,37
264,become,37
265,girl,37
266,both,36
267,want,36
268,asked,36
269,think,36
270,yet,36
271,While,36
272,three,36
273,got,35
274,Lord,35
275,His,35
276,patient,35
277,each,35
278,came,35
279,To,34
280,old,34
281,hand,34
282,Miss,34
283,whole,34
284,next,34
285,effective,34
286,full,34
